load_backend: loaded SYCL backend from /devbin/libggml-sycl.so
load_backend: loaded CPU backend from /devbin/libggml-cpu-zen4.so
Build with Macros:
  GGML_SYCL_DNNL: yes
  GGML_SYCL_F16: yes
  GGML_SYCL_FORCE_MMQ: no
  GGML_SYCL_GRAPH: yes
  GGML_SYCL_SUPPORT_LEVEL_ZERO_API: yes
  GGML_SYCL_SUPPORT_VMM: yes
Running with Environment Variables:
  GGML_SYCL_DEBUG: 0
  GGML_SYCL_DEV2DEV_MEMCPY: 0 (SYCL API)
  GGML_SYCL_GET_MEM_API: 0 (Level Zero API)
  GGML_SYCL_ENABLE_DNN: 1
  GGML_SYCL_FA_ONEDNN: 1
  GGML_SYCL_FA_ONEDNN_MAX_KV: 0
  GGML_SYCL_FA_ONEDNN_MIN_Q: 32
  GGML_SYCL_ENABLE_MKL_FA: 1
  GGML_SYCL_MEMTRACE: 0
  GGML_SYCL_MEMTRACE_STEP: 64
  GGML_SYCL_ENABLE_FLASH_ATTN: 1
  GGML_SYCL_ENABLE_GRAPH: 0
  GGML_SYCL_ENABLE_OPT: 1
  GGML_SYCL_ENABLE_VMM: 1
  GGML_SYCL_ENABLE_FUSION: 1
  GGML_SYCL_ENABLE_ESIMD: 1
  GGML_SYCL_PRIORITIZE_DMMV: 0
  GGML_SYCL_USE_ASYNC_MEM_OP: 1
  GGML_SYCL_USE_LEVEL_ZERO_API: 1
  GGML_SYCL_USM_SYSTEM: 0
  GGML_SYCL_ENABLE_HOST_PINNED_MEM: 1
  GGML_SYCL_HOST_PINNED_MEM_2G: 0
Found 1 SYCL devices:
|  |                   |                                       |       |Max    |        |Max  |Global |                     |
|  |                   |                                       |       |compute|Max work|sub  |mem    |                     |
|ID|        Device Type|                                   Name|Version|units  |group   |group|size   |       Driver version|
|--|-------------------|---------------------------------------|-------|-------|--------|-----|-------|---------------------|
| 0| [level_zero:gpu:0]|             Intel Arc Pro B70 Graphics|   20.2|    256|    1024|   32| 34242M|         1.15.38308+1|
SYCL Optimization Feature:
|ID|        Device Type|Reorder|
|--|-------------------|-------|
| 0| [level_zero:gpu:0]|      Y|
Testing 2 devices

Backend 1/2: SYCL0
  Device description: Intel(R) Arc(TM) Pro B70 Graphics
  Device memory: 32656 MB (32580 MB free)

  FLASH_ATTN_EXT(hsk=72,hsv=72,nh=16,nr23=[1,1],kv=5776,nb=5776,mask=0,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                  21 runs - 49706.43 us/run - 153.73 GFLOP/run - [1;34m  3.09 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                   21465 runs -    46.64 us/run - 125.83 MFLOP/run - [1;34m  2.70 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=4,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                    6368 runs -   161.34 us/run - 503.32 MFLOP/run - [1;34m  3.12 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=q4_0,type_V=q4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                  7155 runs -   156.86 us/run - 125.83 MFLOP/run - [1;34m802.17 GFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=512,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=q4_0,type_V=q4_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                 554 runs -  1806.39 us/run -  64.42 GFLOP/run - [1;34m 35.66 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=q8_0,type_V=q8_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                  7155 runs -   151.53 us/run - 125.83 MFLOP/run - [1;34m830.39 GFLOPS[0m
  FLASH_ATTN_EXT(hsk=64,hsv=64,nh=8,nr23=[8,1],kv=7680,nb=512,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=q8_0,type_V=q8_0,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                 562 runs -  1782.81 us/run -  64.42 GFLOP/run - [1;34m 36.14 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=512,hsv=512,nh=1,nr23=[8,1],kv=49152,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=0):                 1000 runs -  1111.00 us/run - 805.31 MFLOP/run - [1;34m724.85 GFLOPS[0m
  FLASH_ATTN_EXT(hsk=512,hsv=512,nh=1,nr23=[8,1],kv=49152,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=0,n_kv_max=2048):              1000 runs -  1088.12 us/run - 805.31 MFLOP/run - [1;34m740.09 GFLOPS[0m
  FLASH_ATTN_EXT(hsk=576,hsv=512,nh=1,nr23=[16,1],kv=49152,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=1,n_kv_max=0):                1062 runs -   983.66 us/run -   1.71 GFLOP/run - [1;34m  1.74 TFLOPS[0m
  FLASH_ATTN_EXT(hsk=576,hsv=512,nh=1,nr23=[16,1],kv=49152,nb=1,mask=1,sinks=0,max_bias=0.000000,logit_softcap=0.000000,prec=f32,type_K=f16,type_V=f16,permute=[0,1,2,3],kv_view=1,v_is_view_of_k=1,n_kv_max=2048):                     1062 runs -   969.14 us/run -   1.71 GFLOP/run - [1;34m  1.77 TFLOPS[0m
